Cycle,RPM,Ignition_Target,Peak_P_MPa,Peak_T_K,Status,Diagnosis,Theta_Drift_Deg,Crank_Stability_Pct
465,6352.1,-14.9,1.09,511,MISFIRE,No pressure rise post-spark,3e-05,99.97
466,3371.4,-8.7,1.45,530,MISFIRE,No pressure rise post-spark,9e-05,99.97
467,2882.5,-13.9,1.26,515,MISFIRE,No pressure rise post-spark,0.00011,99.97
468,7384.7,-8.1,1.12,530,MISFIRE,No pressure rise post-spark,2e-05,99.97
469,1641.9,-11.3,1.19,521,MISFIRE,No pressure rise post-spark,0.00024,99.97
470,4542.4,-12.3,1.32,518,MISFIRE,No pressure rise post-spark,6e-05,99.97
471,2061.7,-12.6,1.21,518,MISFIRE,No pressure rise post-spark,0.00017,99.97
472,6532.6,-10.0,1.19,524,MISFIRE,No pressure rise post-spark,3e-05,99.97
473,5410.2,-13.0,1.27,518,MISFIRE,No pressure rise post-spark,4e-05,99.97
474,4336.2,-9.8,1.43,527,MISFIRE,No pressure rise post-spark,6e-05,99.97
475,2382.8,-14.2,1.18,511,MISFIRE,No pressure rise post-spark,0.00014,99.97
476,3141.6,-17.0,1.16,503,MISFIRE,No pressure rise post-spark,9e-05,99.97
477,2836.8,-15.2,1.18,507,MISFIRE,No pressure rise post-spark,0.00011,99.97
478,2257.9,-14.6,1.17,511,MISFIRE,No pressure rise post-spark,0.00015,99.97
479,6602.5,-8.4,1.23,530,MISFIRE,No pressure rise post-spark,3e-05,99.97
480,7288.9,-17.5,0.87,499,MISFIRE,No pressure rise post-spark,2e-05,99.97
481,2339.9,-17.0,1.1,503,MISFIRE,No pressure rise post-spark,0.00014,99.97
482,6064.3,-13.1,1.17,515,MISFIRE,No pressure rise post-spark,3e-05,99.97
483,3819.8,-11.2,1.36,521,MISFIRE,No pressure rise post-spark,7e-05,99.97
484,6816.7,-11.8,1.11,521,MISFIRE,No pressure rise post-spark,3e-05,99.97
485,7400.1,-11.0,1.04,521,MISFIRE,No pressure rise post-spark,2e-05,99.97
486,2550.7,-11.3,0.79,463,MISFIRE,No pressure rise post-spark,0.00011,99.97
487,4123.6,-13.9,1.29,515,MISFIRE,No pressure rise post-spark,6e-05,99.97
488,3488.0,-11.7,1.36,521,MISFIRE,No pressure rise post-spark,8e-05,99.97
489,5622.6,-10.6,1.31,524,MISFIRE,No pressure rise post-spark,4e-05,99.97
490,4650.7,-13.2,1.28,515,MISFIRE,No pressure rise post-spark,5e-05,99.97
491,4172.3,-17.6,1.14,499,MISFIRE,No pressure rise post-spark,6e-05,99.97
492,6727.0,-12.7,1.1,518,MISFIRE,No pressure rise post-spark,3e-05,99.97
493,4867.1,-14.5,1.23,511,MISFIRE,No pressure rise post-spark,5e-05,99.97
