Cycle,RPM,Status,Diagnosis,Peak_P_MPa,Peak_T_K,Applied_Drift_Deg,Next_Est_Drift_Deg
606,5304.9,STABLE,Normal Physics,1.38,527,0.0,1e-05
607,5306.7,STABLE,Normal Physics,1.38,527,0.0,1e-05
608,5304.1,STABLE,Normal Physics,1.38,527,0.0,1e-05
609,5347.3,STABLE,Normal Physics,1.37,527,0.0,1e-05
610,5397.0,EARLY_FIRE,Pre-ignition,1.37,527,0.0,0.0
611,5389.3,STABLE,Normal Physics,1.37,527,0.0,1e-05
612,5378.2,STABLE,Normal Physics,1.37,527,0.0,1e-05
613,5322.4,STABLE,Normal Physics,1.37,527,0.0,1e-05
614,5329.8,STABLE,Normal Physics,1.37,527,0.0,1e-05
615,5350.9,STABLE,Normal Physics,1.37,527,0.0,1e-05
616,5393.7,STABLE,Normal Physics,1.37,527,0.0,1e-05
617,5357.4,EARLY_FIRE,Pre-ignition,1.37,527,0.0,0.0
618,5367.1,STABLE,Normal Physics,1.37,527,0.0,1e-05
619,5443.4,STABLE,Normal Physics,1.36,527,0.0,1e-05
620,5404.1,STABLE,Normal Physics,1.37,527,0.0,1e-05
621,5439.3,STABLE,Normal Physics,1.36,527,0.0,1e-05
622,5435.5,STABLE,Normal Physics,1.36,527,0.0,1e-05
623,5459.2,STABLE,Normal Physics,1.36,527,0.0,1e-05
624,5485.3,STABLE,Normal Physics,1.36,527,0.0,1e-05
625,5405.8,STABLE,Normal Physics,1.37,527,0.0,1e-05
626,5458.1,STABLE,Normal Physics,1.36,527,0.0,1e-05
627,5497.3,STABLE,Normal Physics,1.36,527,0.0,1e-05
628,5442.7,STABLE,Normal Physics,1.36,527,0.0,1e-05
629,5460.1,EARLY_FIRE,Pre-ignition,1.36,527,0.0,0.0
630,5441.0,STABLE,Normal Physics,1.36,527,0.0,1e-05
631,5529.0,EARLY_FIRE,Pre-ignition,1.35,527,0.0,0.0
632,5496.0,STABLE,Normal Physics,1.36,527,0.0,1e-05
633,5506.7,STABLE,Normal Physics,1.36,527,0.0,1e-05
634,5475.4,STABLE,Normal Physics,1.36,527,0.0,1e-05
635,5478.2,STABLE,Normal Physics,1.36,527,0.0,1e-05
636,5489.9,STABLE,Normal Physics,1.36,527,0.0,1e-05
637,5517.6,STABLE,Normal Physics,1.36,527,0.0,1e-05
